繁體	简体	拼音	備注
拄	拄	chu3	〜柺杖
處	处	chu3	相〜；〜所
趣	趣	chu4	
去	去	chu4	來～；～皮
舒	舒	shu1	
書	书	shu1	
輸	输	shu1	運～；〜贏
戍	戍	shu1	
戌	戌	shu1	
墟	墟	shu1	吹～
墟	墟	shu1	～市
虛	虚	shu1	
籲	吁	shu1	長～短嘆
需	需	shu1	
須	须	shu1	胡～ ；必～
蓄	蓄	shu1	儲〜
如	如	shu2	
徐	徐	shu2	
除	除	shu2	
許	许	shu3	
杵	杵	shu3	
乳	乳	shu3	
汝	汝	shu3	
黍	黍	shu3	
鼠	鼠	shu3	
婿	婿	shu3	
暑	暑	shu3	
署	署	shu3	專～
薯	薯	shu3	紅〜
褚	褚	shu3	姓
絮	絮	shu4	
恕	恕	shu4	
庶	庶	shu4	
俱	俱	shu4	
敘	叙	shu5	
緒	绪	shu5	
序	序	shu5	
具	具	shu5	
懼	惧	shu5	
聚	聚	shu5	
娶	娶	shu5	
苧	苎	shu5	〜麻
儲	储	shu5	～蓄
廚	厨	zhu1	
瞿	瞿	zhu1	
渠	渠	zhu1	
儒	儒	zhu1	
殊	殊	zhu1	
人	人	zhu1	
術	术	zhu1	
述	述	zhu1	
秫	秫	zhu1	
局	局	zhu1	
豎	竖	zhu5	
住	住	zhu5	
柱	柱	zhu5	
巨	巨	zhu5	
樹	树	zhu5	
迂	迂	yu1	
浴	浴	yu1	
裕	裕	yu1	
欲	欲	yu1	
淤	淤	yu1	
于	于	yu2	
於	于	yu2	
盂	盂	yu2	
愚	愚	yu2	
娛	娱	yu2	
虞	虞	yu2	
餘	余	yu2	剩〜
余	余	yu2	姓
榆	榆	yu2	
魚	鱼	yu2	
漁	渔	yu2	
率	率	yu2	速～
律	律	yu2	
域	域	yu2	
役	役	yu2	
疫	疫	yu2	
獄	狱	yu2	
鬱	郁	yu2	
育	育	yu2	
呂	吕	yu3	
旅	旅	yu3	
禹	禹	yu3	
語	语	yu3	
雨	雨	yu3	
羽	羽	yu3	
宇	宇	yu3	
與	与	yu3	給～
慮	虑	yu5	
濾	滤	yu5	
御	御	yu5	
愉	愉	yu5	
喻	喻	yu5	
逾	逾	yu5	
譽	誉	yu5	榮〜
預	预	yu5	
豫	豫	yu5	
愈	愈	yu5	病〜
芋	芋	yu5	
遇	遇	yu5	
寓	寓	yu5	
玉	玉	yu5	
決	决	cue1	
掘	掘	cue1	
訣	诀	cue1	
厥	厥	cue1	
倔	倔	cue1	脾氣〜
拙	拙	cue1	
缺	缺	chue1	
靴	靴	shue1	
薛	薛	shue1	
雪	雪	shue1	
血	血	shue1	
說	说	shue1	～話
瘸	瘸	shue2	〜腿
絕	绝	zhue2	
穴	穴	zhue2	
悅	悦	yue1	
閱	阅	yue1	
月	月	yue1	
越	越	yue1	
曰	曰	yue1	
粵	粤	yue1	
飛	飞	shui1	
非	非	shui1	
翡	翡	shui1	〜翠
靡	靡	shui3	
尾	尾	shui3	
匪	匪	shui3	
沛	沛	shui4	
廢	废	shui4	
肺	肺	shui4	
吠	吠	shui4	
費	费	shui4	
專	专	cuan1	
磚	砖	cuan1	
捐	捐	cuan1	
卷	卷	cuan3	〜起
轉	转	cuan3	～眼；～送
眷	眷	cuan4	
絹	绢	cuan4	
卷	卷	cuan4	書～
轉	转	cuan4	～圈
穿	穿	chuan1	
圈	圈	chuan1	圓～
川	川	chuan1	
犬	犬	chuan3	
券	券	chuan4	
勸	劝	chuan4	
串	串	chuan4	
宣	宣	shuan1	
喧	喧	shuan1	
軒	轩	shuan1	
鮮	鲜	shuan1	新～；～少
癬	癣	shuan3	
選	选	shuan3	
阮	阮	shuan3	
楦	楦	shuan4	鞋～
弦	弦	zhuan2	
泉	泉	zhuan2	
全	全	zhuan2	
權	权	zhuan2	
旋	旋	zhuan2	
拳	拳	zhuan2	
玄	玄	zhuan2	
傳	传	zhuan2	〜達
眩	眩	zhuan2	
船	船	zhuan2	
顴	颧	zhuan2	～骨
懸	悬	zhuan2	
軟	软	zhuan3	
漸	渐	zhuan5	
倦	倦	zhuan5	
縣	县	zhuan5	
傳	传	zhuan5	〜記
旋	旋	zhuan5	～喫；～做
鏇	镟	zhuan5	～牀
冤	冤	yuan1	
淵	渊	yuan1	
元	元	yuan2	
園	园	yuan2	
緣	缘	yuan2	
椽	椽	yuan2	
袁	袁	yuan2	
轅	辕	yuan2	
鉛	铅	yuan2	
沿	沿	yuan2	
原	原	yuan2	
源	源	yuan2	
員	员	yuan2	
圓	圆	yuan2	
丸	丸	yuan2	肉～
援	援	yuan2	～救
遠	远	yuan3	
兗	兖	yuan3	
怨	怨	yuan4	
院	院	yuan5	
願	愿	yuan5	
軍	军	cun1	
君	君	cun1	
均	均	cun1	
鈞	钧	cun1	
準	准	cun3	
窘	窘	cun3	
傾	倾	chun1	
蠢	蠢	chun3	
頃	顷	chun3	～刻；百畝
薰	熏	shun1	
薰	薰	shun1	
勳	勋	shun1	
訓	训	shun4	
裙	裙	zhun2	
羣	群	zhun2	
群	群	zhun2	
純	纯	zhun2	
蓴	莼	zhun2	〜菜
乘	乘	zhun2	
繩	绳	zhun2	
蠅	蝇	zhun2	
仍	仍	zhun2	
扔	扔	zhun2	
瓊	琼	zhun2	
醇	醇	zhun2	酒味〜
甚	甚	zhun5	
葚	葚	zhun5	桑〜
刃	刃	zhun5	
韌	韧	zhun5	
慎	慎	zhun5	
腎	肾	zhun5	
菌	菌	zhun5	
郡	郡	zhun5	
順	顺	zhun5	
閏	闰	zhun5	
潤	润	zhun5	
孕	孕	zhun5	
剩	剩	zhun5	
盛	盛	zhun5	興～；～飯
任	任	zhun5	責〜
紉	纫	zhun5	縫～
勻	匀	yun1	
雲	云	yun1	〜彩
云	云	yun1	子曰詩〜
尹	尹	yun3	
允	允	yun3	
永	永	yun3	
運	运	yun5	
暈	晕	yun5	
韻	韵	yun5	
樊	樊	yun5	
詠	咏	yun5	
泳	泳	yun5	
